Actinobacillus,Actinomyces,Aggregatibacter,Alkalibacterium,Atopobium,Bacillus,Bacteroides,Bulleidia,Campylobacter,Capnocytophaga,Catonella,Chryseobacterium,Corynebacterium,Defluvibacter,Dialister,Fusobacterium,Gemella,Granulicatella,Haemophilus,Halomonas,Helicobacter,Herbaspirillum,Janthinobacterium,Kingella,Lautropia,Leptotrichia,Luteibacter,Marinilactibacillus,Microbacterium,Micrococcus,Mogibacterium,Moryella,Neisseria,Nesterenkonia,Ochrobactrum,Oribacterium,Other,Paracoccus,Parvimonas,Pedobacter,Peptostreptococcus,Porphyromonas,Prevotella,Propionibacterium,Pseudomonas,Psychrobacter,Rothia,Selenomonas,Shewanella,Sphingomonas,Staphylococcus,Stenotrophomonas,Streptococcus,TG5,Tannerella,Thiobacillus,Treponema,Unclassified,Veillonella,[Prevotella],Helicobacter_Pylori
1.5384476,2.6111207,0.090600386,2.9342644,1.4073793,0.30286276,2.9988577,0.9942349,0.2307827,-0.16627918,-0.4213073,1.4894731,-0.28019238,-0.6970947,-0.3194632,3.2570403,0.81850696,2.7302454,1.9665904,-0.09137879,9.290111,-0.72578436,-0.22209054,-0.32531613,0.16901429,2.1380608,0.12359583,-0.59924746,1.9254652,-0.14936064,0.22820665,-0.28516397,1.4536109,0.40444228,-0.18137854,0.71667933,1.6740944,-0.09022881,0.04172629,1.6740178,-0.7666399,2.2394888,4.055229,0.3073873,0.7989656,0.2776985,2.2515094,0.47575513,1.3558964,-0.3791633,-0.6207055,1.3198684,5.0054393,-0.57566005,1.9721828,-0.09710821,-0.5770249,4.772107,4.545053,2.9569426,1
-0.7952234,5.0419674,-0.2774691,2.0554998,4.0888634,-0.8324087,3.4278643,3.404945,2.4129205,0.76639175,0.8964279,-0.040717687,-0.36844933,-0.85820794,0.91011226,2.3624146,1.0007774,4.6632924,1.8132808,-0.0495615,7.6329284,-0.31164324,-0.29868862,-0.472687,-0.0970079,1.9864838,-0.009545348,-1.002951,0.3329674,0.32466862,0.7651216,1.8846484,1.0950757,-0.441102,-1.042571,3.3729632,2.215397,-0.4971709,0.5892199,1.493385,0.63510954,2.043953,6.2489696,1.6123947,0.9441729,-0.26733807,3.2677066,0.43370125,-0.20836385,-0.26637295,-0.7900071,1.8447981,5.1669607,-0.9115021,0.9230751,-0.25945604,0.31432766,4.1276937,5.234553,4.9441137,1
-0.75320107,4.169159,-0.61886775,1.766772,3.808294,-0.837662,2.1802475,2.204665,1.092995,3.2201617,0.76907027,-0.63556755,-0.35939774,-0.9134795,3.131283,5.610373,3.3258727,2.6092033,1.3978369,-0.9037366,8.700835,-0.8479553,0.31178385,-0.33828986,0.7096648,3.019531,-0.5216923,-0.13421415,-0.1920607,0.2011047,0.9388964,0.6136483,0.17475313,-0.5214136,-0.43150833,2.5020456,1.9045906,-0.6816666,3.4336872,1.3491819,0.42706472,0.3933554,5.9892263,0.89513564,1.1539259,-0.5664067,2.3001792,0.8613816,-1.0628881,0.019484136,0.58978546,1.2543384,5.010882,-0.3373487,3.3297906,0.78158647,5.0777774,4.7493834,4.8522816,2.955911,1
-0.34269696,5.641208,-0.43133044,2.1989307,3.6212304,-0.6253849,2.5323937,3.6802685,1.9563277,3.734659,0.57911795,-0.51193327,-0.34633815,-0.6913086,2.512832,6.2196293,1.896315,4.4724274,2.5300694,0.4757428,8.322937,-0.33926338,0.43547204,1.1888157,0.56840676,3.5023384,-0.9735895,0.1345801,-0.053916495,-0.75994515,1.2817569,1.6810514,0.52792543,0.33957413,-0.97740114,2.2436857,1.9942747,-0.61670923,2.7753675,1.1700441,0.1314525,1.6140987,6.883914,1.3602611,0.049374502,0.16659473,5.20081,1.3060185,-0.88222665,0.32793954,-0.54873717,1.9181322,6.260952,-0.096927434,3.0134892,0.7531366,4.742264,5.3600907,5.109146,3.2076492,1
0.6398325,1.5274545,-0.58807117,3.393167,-0.57430387,-0.11502729,3.8068144,0.81210256,-0.36931637,-0.6249988,-0.84454286,0.6535563,0.09480213,-0.3560076,-0.98534375,1.098162,-0.4786955,2.2844107,0.45275438,-0.08733361,9.184884,-0.5973356,1.7830697,-0.5493214,-0.46080014,0.5082853,-0.07638054,-0.47970927,1.1972941,-0.79216754,-0.6272477,-0.38875183,4.5373936,-0.5711374,0.47966382,-0.9990694,3.8482575,0.24623017,-0.30103284,2.4784482,1.110385,1.4654748,2.3725777,0.0796319,1.5991063,-0.17689931,0.94804955,-0.5773804,-0.22114739,-0.93956727,1.8489242,3.2109475,6.091112,-0.039431218,-0.99327195,-0.7186879,-0.7495933,5.4245596,2.7007136,1.1415453,1
0.24247387,6.109761,-0.5849052,3.7786458,4.3743596,0.8555837,4.297888,3.6596758,3.5998182,1.4164164,1.3225715,-0.8439845,2.7943969,-0.9628177,0.7305295,3.8829904,2.545768,5.8385477,4.132305,0.37495932,3.617293,0.20982148,0.0023201313,0.69874704,-0.656417,4.5043316,-1.0870024,-0.13786213,0.1807737,-0.9865685,2.725347,3.1181529,4.1379614,0.8939127,-0.6819439,2.8490427,3.3310351,0.13922474,0.27862912,3.311193,2.435806,5.0062532,7.566725,2.2187116,0.45049852,-0.9400587,4.526917,2.3427331,-0.17855458,-0.02884196,0.7692335,2.8571417,7.0919056,-0.67978066,1.352676,-0.31614658,1.0199463,6.1421733,6.1357193,5.5512204,1
0.9084987,2.7889156,-0.1435748,2.181478,0.3600805,-0.3838743,2.420257,1.3535981,1.328893,1.4971372,-0.43464383,0.45616025,0.67213947,0.17636277,0.60190475,2.757926,0.75724477,2.8223555,1.5225747,0.17744155,8.258329,-0.30062884,0.38304183,-0.13522252,0.53842163,1.5306453,-0.7579064,-0.39671037,0.78320515,-0.83678716,0.8387364,0.12388455,3.1070597,0.13773894,0.16367659,0.57021743,2.4169366,-0.5062141,1.4337455,2.5799472,0.99312615,0.9840376,4.0541444,-0.045408495,0.540981,0.18577065,2.9423885,0.909305,-0.23404986,-0.6442215,0.5372972,1.489852,5.6097317,0.93897504,0.6673701,0.06028427,1.5946542,5.3670254,3.9317288,2.3698308,1
-0.7930548,4.6119227,-0.7092099,3.3618376,3.566777,-0.5137935,3.756668,2.8252773,1.5087036,1.113031,-0.53603375,-0.32444373,0.13436355,-0.080841616,2.5106313,2.6981902,0.7829092,3.2712045,0.492256,-0.5342821,8.910462,-0.83195233,-0.04571433,-0.063465595,-0.2616153,1.9321237,-0.806328,-0.57661337,0.53979266,0.21734647,0.8295666,0.14329137,0.54948235,-0.26904365,0.20302594,2.1276631,2.6886358,-0.532163,2.1058288,3.167316,0.43302113,0.53791356,5.606917,0.96219367,0.5627487,-0.39500186,2.1920896,1.128672,-0.36779714,-0.06531922,0.37119272,1.5930282,4.338806,0.1198845,1.8057163,0.14824916,2.9845026,4.1341424,3.9290555,3.8638394,1
-0.22723238,5.6096168,1.0694791,3.3751206,4.2210655,-0.09237992,3.1919405,4.01703,3.0176306,1.4239119,-0.587504,-0.48386145,1.6697464,-0.36272183,0.91711783,4.201856,2.1633105,5.659083,3.8769333,1.2995045,5.4812174,-0.56860584,-0.7000652,0.70995975,-0.7937911,3.6778672,-1.00237,0.26008967,0.5530757,-0.8438758,1.57029,2.7884204,3.5537224,0.81762844,-0.735028,2.529728,1.5044837,0.2140303,0.16147786,1.9229746,1.896349,5.395928,7.3568244,0.8039584,-0.20054738,-0.5337098,5.0233846,1.7246547,-0.3141109,0.015364748,0.43820655,1.6378052,6.5315623,0.16424829,0.858283,-0.7604974,0.50356895,5.7921476,5.918057,5.1422663,1
-0.708405,6.021047,0.4858621,1.9915142,4.4093246,-0.87583476,2.0669672,4.486963,2.6099594,3.8766823,0.4630377,-0.85108143,0.46519437,-0.95970756,2.514323,5.043484,2.9738321,4.777311,2.8441226,0.4455034,8.629653,-0.9864203,-0.43413228,1.1728482,-0.33708826,4.160751,-0.91790754,-0.47148773,0.064998545,-0.94443667,2.2452164,2.4198742,1.9477689,-0.3243174,-0.97312164,4.063955,2.3003983,-0.88111097,2.9514093,0.5321771,1.0124664,3.698728,7.607394,0.15867776,-0.09907132,-0.5290543,5.0337906,1.5220486,-0.97171414,-0.34307522,-0.092388295,0.3816438,7.334148,0.51845515,2.968186,-0.051124774,4.514386,5.2716746,5.8947735,4.7572584,1
